"NISN","nama","email","tglLahir","namaOrangTua","emailOrangTua","namaKelas"
"3456789","Anyya","Anyya@dummy.com","2017-03-06","Amanda","Amanda""@dummy.com","1A"
"3456790","Alea","Alea@dummy.com","2017-03-07","Ceva","Ceva""@dummy.com","1B"
"3456791","Anisa","Anisa@dummy.com","2017-03-08","Jaynim","Jaynim""@dummy.com","1C"
"3456792","Abdul","Abdul@dummy.com","2017-03-09","Jeakshi","Jeakshi""@dummy.com","2A"
"3456793","Budiman","Budiman@dummy.com","2017-03-10","Alehan","Alehan""@dummy.com","2B"
"3456794","Clea","Clea@dummy.com","2017-03-11","Sophia the first","Sophia_the_first""@dummy.com","2C"
"3456795","Cemara","Cemara@dummy.com","2017-03-12","Pinus","Pinus""@dummy.com","3C"
"3456796","Diandra","Diandra@dummy.com","2017-03-13","Budi Dodi","Budi_Dodi""@dummy.com","4A"
"3456797","Dominic","Dominic@dummy.com","2017-03-14","Fergio","Fergio""@dummy.com","4B"
"3456798","Evangeline","Evangeline@dummy.com","2017-03-15","Aleana","Aleana""@dummy.com","5A"
"3456799","Ferli","Ferli@dummy.com","2017-03-15","Sagitarius","Sagitarius""@dummy.com","5B"
"3456800","Gesani","Gesani@dummy.com","2017-03-16","Libra","Libra""@dummy.com","5C"
"3456801","Harianto","Harianto@dummy.com","2017-03-20","Pisces","Pisces""@dummy.com","6A"
"3456802","Inul","Inul@dummy.com","2017-03-23","Aquarius","Aquarius""@dummy.com","6B"
"3456803","Kanami","Kanami@dummy.com","2017-01-24","Gemini","Gemini""@dummy.com","6C"
"3456804","Leannab","Leannab@dummy.com","2017-01-13","Caelum","Caelum""@dummy.com","1A"
"3456805","Mentari","Mentari@dummy.com","2017-05-05","Justin","Justin""@dummy.com","1B"
"3456806","Narara","Narara@dummy.com","2017-06-02","Veriberi","Veriberi""@dummy.com","1C"
"3456807","Queena","Queena@dummy.com","2017-05-01","Camilla","Camilla""@dummy.com","2A"
"3456808","Xavier","Xavier@dummy.com","2017-01-04","Cabello","Cabello""@dummy.com","2B"
